역사명,역사코드,방향,주중주말,평균_분,중앙값_분,표준편차,최소_분,최대_분,측정횟수
광운대,1019,UP,DAY,6.22,5.0,2.97,3.0,19.5,180
회기,1015,UP,DAY,6.22,5.0,2.97,3.0,19.5,180
신이문,1017,UP,DAY,6.22,5.0,2.97,3.0,19.5,180
석계,1018,UP,DAY,6.22,5.0,2.97,3.0,19.5,180
외대앞,1016,DOWN,DAY,6.4,5.0,3.13,3.0,18.0,178
신이문,1017,DOWN,DAY,6.4,5.0,3.13,3.0,18.0,178
석계,1018,DOWN,DAY,6.4,5.0,3.13,3.0,18.0,178
회기,1015,DOWN,DAY,6.4,5.0,3.13,3.0,18.0,178
청량리,158,DOWN,DAY,6.4,5.0,3.13,3.0,18.0,178
가산디지털단지,1702,UP,DAY,8.61,8.0,3.51,3.5,20.0,130
금천구청,1703,UP,DAY,8.61,8.0,3.51,3.5,20.0,130
독산,1714,UP,DAY,8.61,8.0,3.51,3.5,20.0,130
금천구청,1703,DOWN,DAY,8.74,8.0,3.81,3.0,20.0,128
가산디지털단지,1702,DOWN,DAY,8.74,8.0,3.82,3.0,20.0,128
독산,1714,DOWN,DAY,8.74,8.0,3.81,3.0,20.0,128
망월사,1904,UP,DAY,9.42,9.0,3.6,3.0,23.0,121
도봉,1902,UP,DAY,9.42,9.0,3.65,3.0,23.0,121
의정부,1906,UP,DAY,9.42,9.0,3.6,3.0,23.0,121
방학,1901,UP,DAY,9.42,9.0,3.65,3.0,23.0,121
도봉산,1903,UP,DAY,9.42,9.0,3.65,3.0,23.0,121
회룡,1905,UP,DAY,9.42,9.0,3.6,3.0,23.0,121
녹천,1021,UP,DAY,9.5,9.0,3.62,3.0,23.0,120
월계,1020,UP,DAY,9.5,9.0,3.62,3.0,23.0,120
창동,1022,UP,DAY,9.5,9.0,3.62,3.0,23.0,120
도봉,1902,DOWN,DAY,9.52,8.5,3.47,3.5,24.0,121
방학,1901,DOWN,DAY,9.52,8.5,3.47,3.5,24.0,121
도봉산,1903,DOWN,DAY,9.52,8.5,3.54,3.5,24.0,121
망월사,1904,DOWN,DAY,9.52,8.5,3.54,3.5,24.0,121
창동,1022,DOWN,DAY,9.52,8.5,3.47,3.5,24.0,121
회룡,1905,DOWN,DAY,9.52,8.5,3.54,3.5,24.0,121
광운대,1019,DOWN,DAY,9.63,9.0,3.63,3.5,24.0,122
녹천,1021,DOWN,DAY,9.63,8.75,3.63,3.5,24.0,122
월계,1020,DOWN,DAY,9.63,8.75,3.63,3.5,24.0,122
화서,1712,UP,DAY,10.17,9.5,3.36,4.0,20.0,110
안양,1706,UP,DAY,10.17,9.25,3.44,4.0,20.0,110
의왕,1710,UP,DAY,10.17,9.5,3.35,4.0,20.0,110
금정,1708,UP,DAY,10.17,9.25,3.44,4.0,20.0,110
성균관대,1711,UP,DAY,10.17,9.5,3.35,4.0,20.0,110
세류,1715,UP,DAY,10.17,9.5,3.33,4.0,20.0,110
당정,1729,UP,DAY,10.17,9.5,3.34,4.0,20.0,110
명학,1707,UP,DAY,10.17,9.25,3.44,4.0,20.0,110
병점,1716,UP,DAY,10.17,9.5,3.86,1.0,21.0,111
석수,1704,UP,DAY,10.17,9.25,3.44,4.0,20.0,110
수원,1713,UP,DAY,10.17,9.5,3.32,4.0,20.0,110
관악,1705,UP,DAY,10.17,9.25,3.44,4.0,20.0,110
군포,1709,UP,DAY,10.17,9.5,3.34,4.0,20.0,110
오류동,1802,UP,DAY,10.29,9.0,3.96,4.0,29.0,111
온수,1821,UP,DAY,10.29,9.0,3.96,4.0,29.0,111
중동,1822,UP,DAY,10.29,9.0,3.96,4.0,29.0,111
역곡,1803,UP,DAY,10.29,9.0,3.96,4.0,29.0,111
구일,1813,UP,DAY,10.29,9.0,3.96,4.0,29.0,111
부천,1804,UP,DAY,10.29,9.0,3.96,4.0,29.0,111
송내,1805,UP,DAY,10.29,9.0,3.96,4.0,29.0,111
소사,1814,UP,DAY,10.29,9.0,3.96,4.0,29.0,111
부개,1815,UP,DAY,10.29,9.0,3.96,4.0,29.0,111
개봉,1801,UP,DAY,10.29,9.0,3.96,4.0,29.0,111
관악,1705,DOWN,DAY,10.36,9.5,3.3,4.5,20.0,108
금정,1708,DOWN,DAY,10.36,9.5,3.3,4.5,20.0,108
의왕,1710,DOWN,DAY,10.36,9.5,3.46,4.5,20.0,108
화서,1712,DOWN,DAY,10.36,9.5,3.46,4.5,20.0,108
안양,1706,DOWN,DAY,10.36,9.5,3.3,4.5,20.0,108
명학,1707,DOWN,DAY,10.36,9.5,3.3,4.5,20.0,108
성균관대,1711,DOWN,DAY,10.36,9.5,3.46,4.5,20.0,108
세류,1715,DOWN,DAY,10.36,9.5,3.45,4.5,20.0,108
수원,1713,DOWN,DAY,10.36,9.5,3.46,4.5,20.0,108
석수,1704,DOWN,DAY,10.36,9.5,3.3,4.5,20.0,108
당정,1729,DOWN,DAY,10.36,9.5,3.46,4.5,20.0,108
군포,1709,DOWN,DAY,10.36,9.5,3.31,4.5,20.0,108
병점,1716,DOWN,DAY,10.37,9.5,3.46,4.5,20.0,108
구일,1813,DOWN,DAY,10.4,9.5,3.54,4.5,22.0,109
부평,1806,DOWN,DAY,10.4,9.5,3.54,4.5,22.0,109
송내,1805,DOWN,DAY,10.4,9.5,3.54,4.5,22.0,109
부개,1815,DOWN,DAY,10.4,9.5,3.54,4.5,22.0,109
부천,1804,DOWN,DAY,10.4,9.5,3.54,4.5,22.0,109
개봉,1801,DOWN,DAY,10.4,9.5,3.54,4.5,22.0,109
소사,1814,DOWN,DAY,10.4,9.5,3.54,4.5,22.0,109
역곡,1803,DOWN,DAY,10.4,9.5,3.54,4.5,22.0,109
온수,1821,DOWN,DAY,10.4,9.5,3.54,4.5,22.0,109
중동,1822,DOWN,DAY,10.4,9.5,3.54,4.5,22.0,109
오류동,1802,DOWN,DAY,10.4,9.5,3.54,4.5,22.0,109
간석,1816,UP,DAY,10.59,9.0,3.96,4.0,29.0,106
도화,1823,UP,DAY,10.59,9.0,3.96,4.0,29.0,106
백운,1807,UP,DAY,10.59,9.0,3.96,4.0,29.0,106
부평,1806,UP,DAY,10.59,9.0,3.96,4.0,29.0,106
제물포,1810,UP,DAY,10.59,9.0,3.96,4.0,29.0,106
주안,1809,UP,DAY,10.59,9.0,3.96,4.0,29.0,106
동인천,1811,UP,DAY,10.59,9.0,3.96,4.0,29.0,106
동암,1808,UP,DAY,10.59,9.0,3.96,4.0,29.0,106
도원,1817,UP,DAY,10.59,9.0,3.96,4.0,29.0,106
동인천,1811,DOWN,DAY,10.69,9.5,3.48,4.5,22.0,106
간석,1816,DOWN,DAY,10.69,9.5,3.48,4.5,22.0,106
도화,1823,DOWN,DAY,10.69,9.5,3.48,4.5,22.0,106
인천,1812,DOWN,DAY,10.69,9.5,3.48,4.5,22.0,106
제물포,1810,DOWN,DAY,10.69,9.5,3.48,4.5,22.0,106
주안,1809,DOWN,DAY,10.69,9.5,3.48,4.5,22.0,106
동암,1808,DOWN,DAY,10.69,9.5,3.48,4.5,22.0,106
백운,1807,DOWN,DAY,10.69,9.5,3.48,4.5,22.0,106
도원,1817,DOWN,DAY,10.69,9.5,3.48,4.5,22.0,106
가능,1907,UP,DAY,11.86,10.0,5.52,3.0,27.0,95
녹양,1908,UP,DAY,11.86,10.0,5.52,3.0,27.0,95
양주,1909,UP,DAY,11.86,10.0,5.52,3.0,27.0,95
의정부,1906,DOWN,DAY,12.07,10.0,6.16,3.5,32.5,95
가능,1907,DOWN,DAY,12.07,10.0,6.16,3.5,32.5,95
녹양,1908,DOWN,DAY,12.07,10.0,6.16,3.5,32.5,95
두정,1727,UP,DAY,18.06,17.5,6.49,7.5,31.0,62
오산,1719,UP,DAY,18.06,17.0,6.39,7.5,31.0,62
오산대,1718,UP,DAY,18.06,18.0,5.94,7.5,31.0,62
진위,1720,UP,DAY,18.06,17.0,6.4,7.5,31.0,62
평택,1724,UP,DAY,18.06,17.5,6.4,7.5,31.0,62
평택지제,1723,UP,DAY,18.06,17.5,6.37,7.5,31.0,62
직산,1726,UP,DAY,18.06,17.5,6.46,7.5,31.0,62
세마,1717,UP,DAY,18.06,18.0,5.95,7.5,31.0,62
송탄,1721,UP,DAY,18.06,17.0,6.4,7.5,31.0,62
서정리,1722,UP,DAY,18.06,17.5,6.37,7.5,31.0,62
성환,1725,UP,DAY,18.06,17.5,6.44,7.5,31.0,62
평택지제,1723,DOWN,DAY,18.51,19.25,5.04,10.0,29.0,60
서정리,1722,DOWN,DAY,18.51,19.5,5.24,9.0,29.0,60
성환,1725,DOWN,DAY,18.51,19.25,5.09,10.0,29.0,60
세마,1717,DOWN,DAY,18.51,19.5,5.49,7.5,29.0,60
송탄,1721,DOWN,DAY,18.51,19.5,5.24,9.0,29.0,60
평택,1724,DOWN,DAY,18.51,19.25,5.06,10.0,29.0,60
천안,1728,DOWN,DAY,18.51,19.25,5.1,10.0,29.0,60
오산,1719,DOWN,DAY,18.51,19.5,5.5,7.5,29.0,60
두정,1727,DOWN,DAY,18.51,19.25,5.09,10.0,29.0,60
직산,1726,DOWN,DAY,18.51,19.25,5.09,10.0,29.0,60
진위,1720,DOWN,DAY,18.51,19.5,5.24,9.0,29.0,60
오산대,1718,DOWN,DAY,18.51,19.5,5.49,7.5,29.0,60
덕계,1910,UP,DAY,18.67,17.5,9.14,5.0,47.5,60
덕정,1911,UP,DAY,18.67,17.5,9.14,5.0,47.5,60
보산,1914,UP,DAY,18.67,17.5,9.15,5.0,47.5,60
동두천,1915,UP,DAY,18.67,17.5,9.16,5.0,47.5,60
동두천중앙,1913,UP,DAY,18.67,17.5,9.14,5.0,47.5,60
지행,1912,UP,DAY,18.67,17.5,9.14,5.0,47.5,60
덕계,1910,DOWN,DAY,18.87,16.0,10.37,7.0,50.0,59
동두천중앙,1913,DOWN,DAY,18.87,16.0,10.37,7.0,50.0,59
지행,1912,DOWN,DAY,18.87,16.0,10.37,7.0,50.0,59
양주,1909,DOWN,DAY,18.87,16.0,10.37,7.0,50.0,59
덕정,1911,DOWN,DAY,18.87,16.0,10.36,7.0,50.0,59
보산,1914,DOWN,DAY,18.87,16.0,10.37,7.0,50.0,59
서동탄,1749,DOWN,DAY,22.0,21.5,8.67,5.5,43.0,49
동두천,1915,DOWN,DAY,30.09,32.5,13.67,9.0,56.0,37
소요산,1916,UP,DAY,30.26,32.0,10.28,14.0,54.0,37
아산,1403,DOWN,DAY,34.81,29.25,19.18,13.0,96.5,32
봉명,1401,DOWN,DAY,34.81,29.25,19.18,13.0,96.5,32
배방,1405,DOWN,DAY,34.81,29.25,19.18,13.0,96.5,32
온양온천,1407,DOWN,DAY,34.81,29.25,19.18,13.0,96.5,32
신창,1408,DOWN,DAY,34.81,29.25,19.18,13.0,96.5,32
쌍용,1402,DOWN,DAY,34.81,29.25,19.18,13.0,96.5,32
탕정,1404,DOWN,DAY,34.81,29.25,19.18,13.0,96.5,32
온양온천,1407,UP,DAY,35.16,30.0,16.87,11.0,77.0,32
탕정,1404,UP,DAY,35.16,30.0,16.87,11.0,77.0,32
아산,1403,UP,DAY,35.16,30.0,16.87,11.0,77.0,32
봉명,1401,UP,DAY,35.16,30.0,16.87,11.0,77.0,32
배방,1405,UP,DAY,35.16,30.0,16.87,11.0,77.0,32
쌍용,1402,UP,DAY,35.16,30.0,16.87,11.0,77.0,32
천안,1728,UP,DAY,35.16,30.0,16.87,11.0,77.0,32
광명,1750,DOWN,DAY,53.68,51.0,11.2,39.5,76.0,19
소요산,1916,DOWN,DAY,54.05,56.0,10.74,30.0,67.0,20
전곡,1918,DOWN,DAY,54.05,56.0,10.74,30.0,67.0,20
청산,1917,DOWN,DAY,54.05,56.0,10.74,30.0,67.0,20
청산,1917,UP,DAY,54.85,59.0,13.71,28.0,73.0,20
전곡,1918,UP,DAY,54.85,59.0,13.77,24.0,73.0,20
연천,1919,UP,DAY,54.85,59.0,12.48,27.5,70.0,20
